 Imunizações - Cobertura - Brasil;;;;;;;;;;;;;;;;;;;;
Doses Cáculos CV por Imuno e Ano;;;;;;;;;;;;;;;;;;;;
Unidade da Federação: Minas Gerais;;;;;;;;;;;;;;;;;;;;
Imuno: 074 Poliomielite, 100 Poliomielite 4 anos, 006 Febre Amarela, 021 Tríplice Viral  D1, 098 Tríplice Viral  D2, 097 Tetra Viral(SRC+VZ), 018 Sarampo;;;;;;;;;;;;;;;;;;;;
Período:2000-2019;;;;;;;;;;;;;;;;;;;;
Imuno;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
074 Poliomielite;352352;316183;293564;284340;287340;292643;282084;273978;260047;265414;253366;260449;248823;268316;250745;251113;235424;230667;241515;150678
100 Poliomielite 4 anos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;109;104
006 Febre Amarela;153817;266468;221342;66125;239803;281407;272782;266681;252026;260595;241446;251089;246886;259636;218756;235287;229374;217734;236242;153038
021 Tríplice Viral  D1;304194;323627;317671;337116;319842;297080;281500;283575;257779;266063;251626;254340;264627;281321;283759;258863;263798;249552;245300;171749
098 Tríplice Viral  D2;-;-;-;-;-;-;-;-;-;-;-;-;-;216983;227900;185820;235662;228478;214182;148458
097 Tetra Viral(SRC+VZ);-;-;-;-;-;-;-;-;-;-;-;-;-;101741;203689;170732;244848;48809;23648;1493
018 Sarampo;359654;323926;240688;3211;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
