 Imunizações - Cobertura - Brasil;;;;;;;;;;;;;;;;;;;;
Doses Cáculos CV por Imuno e Ano;;;;;;;;;;;;;;;;;;;;
Unidade da Federação: Rio de Janeiro;;;;;;;;;;;;;;;;;;;;
Imuno: 074 Poliomielite, 100 Poliomielite 4 anos, 006 Febre Amarela, 021 Tríplice Viral  D1, 098 Tríplice Viral  D2, 097 Tetra Viral(SRC+VZ), 018 Sarampo;;;;;;;;;;;;;;;;;;;;
Período:2000-2019;;;;;;;;;;;;;;;;;;;;
Imuno;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
074 Poliomielite;243444;227932;259159;258845;248893;265565;227051;243055;233739;236915;231439;242886;209790;220297;224814;239545;210018;207660;190527;72481
100 Poliomielite 4 anos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;262;210;11
006 Febre Amarela;13717;4087;882;1099;741;768;490;690;1621;950;765;717;849;2298;2255;1132;516;61171;101840;59057
021 Tríplice Viral  D1;231596;235152;233172;265779;243591;240496;223060;218038;206007;209411;205694;232066;210452;238401;250650;235935;255170;230954;217554;87344
098 Tríplice Viral  D2;-;-;-;-;-;-;-;-;-;-;-;-;-;147768;214926;200114;168551;165907;153222;65538
097 Tetra Viral(SRC+VZ);-;-;-;-;-;-;-;-;-;-;-;-;-;74995;215521;202650;172336;45933;19321;4727
018 Sarampo;262297;243061;228147;1764;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
