 Imunizações - Cobertura - Brasil;;;;;;;;;;;;;;;;;;;;
Coberturas Vacinais por Imuno e Ano;;;;;;;;;;;;;;;;;;;;
Unidade da Federação: Espírito Santo;;;;;;;;;;;;;;;;;;;;
Imuno: 074 Poliomielite, 100 Poliomielite 4 anos, 006 Febre Amarela, 021 Tríplice Viral  D1, 098 Tríplice Viral  D2, 097 Tetra Viral(SRC+VZ);;;;;;;;;;;;;;;;;;;;
Período:2000-2019;;;;;;;;;;;;;;;;;;;;
Imuno;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
074 Poliomielite;108,53;109,82;114,88;119,51;112,22;112,11;112,45;108,97;104,58;107,32;103,07;108,26;104,93;100,22;101,25;99,39;89,28;81,32;90,54;54,09
100 Poliomielite 4 anos;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,66;0,35;0,15
006 Febre Amarela;45,99;21,89;4,13;5,97;26,66;34,6;36,4;35,94;33,54;10,73;1,03;0,66;0,8;0,56;0,44;0,39;0,42;61,33;73,8;46,25
021 Tríplice Viral  D1;68,74;99,75;101,04;126,19;113,96;110,12;109,37;104,49;100,36;102,47;99,72;103,76;105,07;106,19;109,44;99,04;104,31;87,38;95,37;62,14
098 Tríplice Viral  D2;...;...;...;...;...;...;...;...;...;...;...;...;...;84,89;97,63;87,48;78,35;72,4;79,43;52,82
097 Tetra Viral(SRC+VZ);...;...;...;...;...;...;...;...;...;...;...;...;...;39,84;98,45;85,88;81,52;15,93;7,2;1,4
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
