 Imunizações - Cobertura - Brasil;;;;;;;;;;;;;;;;;;;;
Coberturas Vacinais por Imuno e Ano;;;;;;;;;;;;;;;;;;;;
Unidade da Federação: Minas Gerais;;;;;;;;;;;;;;;;;;;;
Imuno: 074 Poliomielite, 100 Poliomielite 4 anos, 006 Febre Amarela, 021 Tríplice Viral  D1, 098 Tríplice Viral  D2, 097 Tetra Viral(SRC+VZ);;;;;;;;;;;;;;;;;;;;
Período:2000-2019;;;;;;;;;;;;;;;;;;;;
Imuno;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
074 Poliomielite;106,7;99,22;91,01;87,11;103,49;105,86;105,99;105,58;99,56;105,19;100,41;103,22;98,61;103,24;96,51;97,12;88,29;86,5;95,28;57,74
100 Poliomielite 4 anos;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,11;0,13;0,12
006 Febre Amarela;46,58;83,62;68,62;20,26;86,37;101,79;102,5;102,77;96,49;103,28;95,69;99,51;97,85;99,9;85,33;91;86,03;81,65;93,2;58,64
021 Tríplice Viral  D1;92,7;101,89;98,8;103,62;115,2;107,46;105,77;109,28;98,69;105,45;99,72;100,8;104,88;108,25;109,22;100,11;98,93;93,59;96,77;65,82
098 Tríplice Viral  D2;...;...;...;...;...;...;...;...;...;...;...;...;...;83,49;87,72;71,87;88,38;85,68;84,5;56,89
097 Tetra Viral(SRC+VZ);...;...;...;...;...;...;...;...;...;...;...;...;...;39,15;78,4;66,03;91,82;18,3;9,33;0,57
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
