 Imunizações - Cobertura - Brasil;;;;;
Coberturas Vacinais por Imuno e Ano;;;;;
Unidade da Federação: Espírito Santo;;;;;
Período:2015-2019;;;;;
Imuno;2015;2016;2017;2018;2019
072 BCG;102,26;90,61;90,46;99,75;56,05
099 Hepatite B  em crianças até 30 dias;94,1;79,85;82,06;91,62;53,16
061 Rotavírus Humano;98;91,78;83,18;93,17;54,4
053 Meningococo C;99,66;94,01;81,38;89,31;55,44
073 Hepatite B;101,12;117,67;84,23;104,17;51,65
080 Penta;99,62;92,14;80,36;89,36;49,85
012 Pneumocócica;99,93;95,64;88,1;95,77;56,4
074 Poliomielite;99,39;89,28;81,32;90,54;54,09
100 Poliomielite 4 anos;0;0;0,66;0,35;0,15
006 Febre Amarela;0,39;0,42;61,33;73,8;46,25
096 Hepatite A;94,01;78,1;76,69;88,4;57,46
091 Pneumocócica(1º ref);94,17;92,44;78,7;88,49;58,68
092 Meningococo C (1º ref);91,38;107,6;79,36;81,28;61,94
093 Poliomielite(1º ref);89,37;78,53;77,19;76,52;49,93
021 Tríplice Viral  D1;99,04;104,31;87,38;95,37;62,14
098 Tríplice Viral  D2;87,48;78,35;72,4;79,43;52,82
097 Tetra Viral(SRC+VZ);85,88;81,52;15,93;7,2;1,4
075 DTP;100,23;92,27;80,58;89,78;50,1
102 DTP REF (4 e 6 anos);0;2,82;2,64;1,3;0,7
095 Tríplice Bacteriana(DTP)(1º ref);92,15;61,56;71,55;64,79;39,53
094 Dupla adulto e tríplice acelular gestante;56,78;48,69;49,7;59,66;40,05
003 dTpa gestante;59,81;49,87;63,25;78,79;51,45
