 Imunizações - Cobertura - Brasil;;;;;
Coberturas Vacinais por Imuno e Ano;;;;;
Unidade da Federação: Minas Gerais;;;;;
Período:2015-2019;;;;;
Imuno;2015;2016;2017;2018;2019
072 BCG;102,41;89,41;93,6;99,16;58,91
099 Hepatite B  em crianças até 30 dias;88,92;76,13;80,6;89,41;53,83
061 Rotavírus Humano;101,89;92,2;88,58;96,87;59,22
053 Meningococo C;103,38;94,75;89,16;96,08;59,31
073 Hepatite B;100,98;105,35;90,67;99,96;65,15
080 Penta;100,7;93,25;86,74;95,58;55,59
012 Pneumocócica;100,89;95,71;92,05;98,79;59,91
074 Poliomielite;97,12;88,29;86,5;95,28;57,74
100 Poliomielite 4 anos;...;...;0,11;0,13;0,12
006 Febre Amarela;91;86,03;81,65;93,2;58,64
096 Hepatite A;100,35;79,07;90,22;90,8;60,44
091 Pneumocócica(1º ref);94,11;85,85;83,89;88,37;58,32
092 Meningococo C (1º ref);92,73;106,79;86,47;89,42;61,9
093 Poliomielite(1º ref);84,83;90,57;84,72;81,57;54,07
021 Tríplice Viral  D1;100,11;98,93;93,59;96,77;65,82
098 Tríplice Viral  D2;71,87;88,38;85,68;84,5;56,89
097 Tetra Viral(SRC+VZ);66,03;91,82;18,3;9,33;0,57
075 DTP;101;93,28;86,77;95,73;55,75
102 DTP REF (4 e 6 anos);...;2,18;2,13;1,64;1,08
095 Tríplice Bacteriana(DTP)(1º ref);91,62;76,59;79,42;80,94;45,5
094 Dupla adulto e tríplice acelular gestante;29,85;17,32;22,94;45,28;32,4
003 dTpa gestante;35,56;25,14;37,02;72,03;49,49
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
