 Imunizações - Cobertura - Brasil;;;;;
Coberturas Vacinais por Imuno e Ano;;;;;
Unidade da Federação: São Paulo;;;;;
Período:2015-2019;;;;;
Imuno;2015;2016;2017;2018;2019
072 BCG;102,2;94,33;100,51;99,08;50,7
099 Hepatite B  em crianças até 30 dias;92,51;89,81;91,37;88,32;47,15
061 Rotavírus Humano;97;90,32;90,16;91,1;53,12
053 Meningococo C;98,62;90,42;89,28;87,87;54,07
073 Hepatite B;100,68;110,04;89,43;98,61;59,56
080 Penta;98,36;88,48;86,67;90,11;49,04
012 Pneumocócica;99,93;93,58;95,24;94,34;54,44
074 Poliomielite;99,68;83,84;87,21;91,1;52,48
100 Poliomielite 4 anos;0;0;0,94;0,83;0,13
006 Febre Amarela;19,7;18,63;23,46;58,83;45,08
096 Hepatite A;102,42;63,43;80,29;83,05;53,77
091 Pneumocócica(1º ref);92,71;86,84;78,32;80,16;51,79
092 Meningococo C (1º ref);94,42;80,76;81,35;80,43;57,29
093 Poliomielite(1º ref);90,27;77,72;81,56;74,56;48,55
021 Tríplice Viral  D1;97,91;92,96;91,26;90,38;60,19
098 Tríplice Viral  D2;92,43;77,73;87,14;81,41;51,69
097 Tetra Viral(SRC+VZ);94,64;80,97;21,48;36,8;24,28
075 DTP;99,76;88,94;87,33;90,45;49,14
102 DTP REF (4 e 6 anos);0;2,38;2,38;1,86;1
095 Tríplice Bacteriana(DTP)(1º ref);91,84;59,59;76,84;68,08;37,75
094 Dupla adulto e tríplice acelular gestante;59,91;24,23;28,59;41,16;27,16
003 dTpa gestante;61,09;26,42;35,9;54,68;35,86
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
